HRHHID,OCCURNUM,YYYYMM,PEEDUCA,PEMARITL,PESEX,PRTAGE,PRTFAGE,PERACE,GTCMSA,GESTCEN,PTERNWA,PRVEL,PES3,PES4,PES5,PES6,PES7,PWSSWGT,PWORWGT
393121190090,2,199411,42,1,2,56,0,1,-1,71,21474836.47,1,1,-9,3,6,2,1301.4706,5209.1560
031219190309,1,199411,44,1,1,51,0,1,-1,71,21474836.47,2,-9,-9,-9,-9,-9,1220.1426,4637.9117
031219190309,2,199411,39,1,2,48,0,4,-1,71,184.61,2,-9,-9,-9,-9,-9,965.8108,3784.8409
031219190309,3,199411,40,6,1,21,0,1,-1,71,21474836.47,2,-9,-9,-9,-9,-9,1610.8628,6047.0863
031219190309,4,199411,37,6,1,17,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1542.5344,6222.5322
102031319990,1,199411,44,1,1,57,0,1,-1,71,651.16,1,1,-9,2,4,1,1292.6207,5340.7093
102031319990,2,199411,39,1,2,56,0,1,-1,71,21474836.47,1,1,-9,2,4,2,1301.4706,5205.6435
982379802108,1,199411,39,6,1,35,0,2,-1,71,21474836.47,1,2,2,-9,2,1,2297.4440,0.0000
293201089887,1,199411,39,3,2,77,0,2,-1,71,21474836.47,1,2,1,-9,6,2,1621.9885,0.0000
293201089887,2,199411,42,6,1,35,0,2,-1,71,21474836.47,1,1,-9,2,6,1,2297.4440,0.0000
829910207883,1,199411,39,4,2,72,0,2,-1,71,21474836.47,1,1,-9,1,5,1,1621.9885,0.0000
098220090409,1,199411,44,3,2,70,0,1,-1,71,21474836.47,1,1,-9,2,6,1,1301.4238,0.0000
098220090409,2,199411,35,3,2,89,0,1,-1,71,21474836.47,1,2,1,-9,3,2,1256.1345,0.0000
802092409900,1,199411,43,4,2,61,0,1,-1,71,21474836.47,1,2,2,-9,4,1,1298.2337,0.0000
920049802009,1,199411,43,1,1,67,0,1,-1,71,21474836.47,1,1,-9,1,6,2,1491.9362,0.0000
920049802009,2,199411,39,1,2,63,0,1,-1,71,21474836.47,1,1,-9,1,6,1,1319.9277,0.0000
920049802009,3,199411,40,6,2,38,0,1,-1,71,21474836.47,1,1,-9,1,6,2,1327.7410,0.0000
084002929090,1,199411,46,1,1,74,0,1,-1,71,21474836.47,1,1,-9,3,6,2,1336.0196,0.0000
084002929090,2,199411,43,1,2,76,0,1,-1,71,21474836.47,1,1,-9,1,6,1,1256.1345,0.0000
084002929090,3,199411,44,6,2,80,0,1,-1,71,21474836.47,1,1,-9,1,6,2,1256.1345,0.0000
330091290219,1,199411,40,6,2,23,0,1,-1,71,21474836.47,1,2,1,-9,2,1,1636.8468,0.0000
393121290090,1,199411,43,1,1,25,0,1,-1,71,21474836.47,1,1,-9,1,3,1,1538.6614,0.0000
393121290090,2,199411,40,1,2,23,0,1,-1,71,21474836.47,1,2,1,-9,2,2,1636.8468,0.0000
031229190309,1,199411,43,4,2,35,0,2,-1,71,21474836.47,1,1,-9,3,6,1,1522.6329,0.0000
031229190309,2,199411,-1,-1,2,14,0,2,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1361.1363,0.0000
102032319990,1,199411,40,4,2,62,0,1,-1,71,21474836.47,1,1,-9,3,5,1,1298.2337,0.0000
818083739920,1,199411,44,3,2,70,0,1,-1,71,21474836.47,2,-9,-9,-9,-9,-9,1322.9760,0.0000
982379803108,1,199411,37,1,1,28,0,2,-1,71,21474836.47,1,2,2,-9,3,1,1821.9690,0.0000
982379803108,2,199411,39,1,2,26,0,2,-1,71,21474836.47,1,1,-9,2,3,2,1557.8869,0.0000
982379803108,3,199411,39,2,1,24,0,2,-1,71,21474836.47,1,2,-2,-9,1,2,2262.2107,0.0000
187208938390,1,199411,39,3,2,87,0,1,-1,71,21474836.47,1,2,2,-9,5,1,1208.4331,0.0000
293301089887,1,199411,39,1,1,37,0,1,-1,71,21474836.47,1,1,-9,1,4,1,1253.6136,0.0000
293301089887,2,199411,40,1,2,38,0,1,-1,71,21474836.47,1,1,-9,1,4,2,1297.6046,0.0000
293301089887,3,199411,43,1,1,64,0,1,-1,71,21474836.47,1,2,2,-9,4,2,1649.7597,0.0000
293301089887,4,199411,40,1,2,65,0,1,-1,71,21474836.47,1,2,2,-9,4,2,1309.7244,0.0000
293301089887,5,199411,-1,-1,1,7,0,2,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1619.7237,0.0000
293301089887,6,199411,-1,-1,2,5,0,2,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1653.2278,0.0000
293301089887,7,199411,-1,-1,1,2,0,2,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1969.6484,0.0000
409820390090,1,199411,40,1,1,32,0,1,-1,71,21474836.47,1,1,-9,3,6,2,1391.3787,0.0000
409820390090,2,199411,41,1,2,30,0,1,-1,71,21474836.47,1,1,-9,3,6,1,1427.1750,0.0000
409820390090,3,199411,-1,-1,1,0,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1691.4224,0.0000
098230090409,1,199411,43,1,1,29,0,1,-1,71,21474836.47,1,2,2,-9,4,1,1709.0674,0.0000
098230090409,2,199411,41,1,2,34,0,1,-1,71,21474836.47,1,2,1,-9,4,2,1427.1750,0.0000
098230090409,3,199411,-1,-1,2,3,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1231.9100,0.0000
802093409900,1,199411,45,1,1,29,0,1,-1,71,21474836.47,1,2,1,-9,4,2,1709.0674,0.0000
802093409900,2,199411,43,1,2,32,0,1,-1,71,21474836.47,1,2,1,-9,4,1,1427.1750,0.0000
